date snow evap netpsn depthtogw vegaccesswater Qout litter soil height_over trans_over height_under trans_under leafc_over stemc_over rootc_over leafc_under stemc_under rootc_under year month day
1942-10-01 0 0 -4.05593 1465.697434 173.460563 0 0.266784 11.479244 3.49852 1.608132 0 0 0.972722919 1.600808246 2.01436342 0 0 0 1942 10 1
1942-10-02 0 0 -3.869207 1466.983413 172.174584 0 0.26618 11.47911 3.498318 1.428904 0 0 0.972709594 1.600651942 2.014242492 0 0 0 1942 10 2
1942-10-03 0 0 -4.663931 1468.00453 171.153467 0 0.265594 11.478976 3.498116 1.134614 0 0 0.972696269 1.600495653 2.014121574 0 0 0 1942 10 3
1942-10-04 0 0 -5.208463 1468.726773 170.431224 0 0.265013 11.478843 3.497915 0.802531 0 0 0.972682944 1.600339381 2.014000667 0 0 0 1942 10 4
1942-10-05 0 0 -5.816748 1469.261003 169.896994 0 0.264434 11.478708 3.497713 0.593628 0 0 0.97266962 1.600183123 2.013879771 0 0 0 1942 10 5
1942-10-06 0 0 -5.838358 1469.738504 169.419493 0 0.263849 11.478571 3.497511 0.530596 0 0 0.972656296 1.600026883 2.013758885 0 0 0 1942 10 6
1942-10-07 0 0 -5.413114 1470.164533 168.993464 0 0.263263 11.478431 3.49731 0.473404 0 0 0.972642972 1.599870657 2.013638009 0 0 0 1942 10 7
1942-10-08 0 0 -5.648493 1470.477128 168.680869 0 0.262685 11.47829 3.497108 0.347366 0 0 0.972629648 1.599714448 2.013517144 0 0 0 1942 10 8
1942-10-09 0 0 -6.601881 1470.66343 168.494567 0 0.262109 11.478148 3.496907 0.207041 0 0 0.972616324 1.599558253 2.01339629 0 0 0 1942 10 9
1942-10-10 0 0 -4.405624 1470.897609 168.260388 0 0.261521 11.478002 3.496705 0.260237 0 0 0.972603 1.599402075 2.013275446 0 0 0 1942 10 10
1942-10-11 0 1.8 -4.721184 1470.831047 168.326915 0 0.260972 11.477861 3.496504 0 0 0 0.972589677 1.599245912 2.013154613 0 0 0 1942 10 11
1942-10-12 0 0 -3.690861 1470.979079 168.178918 0 0.260438 11.477723 3.496302 0.164518 0 0 0.972576354 1.599089765 2.013033791 0 0 0 1942 10 12
1942-10-13 0 0 -3.541866 1471.100003 168.057994 0 0.259948 11.477592 3.4961 0.134399 0 0 0.972563031 1.598933634 2.012912979 0 0 0 1942 10 13
1942-10-14 0 0 -4.014784 1471.205992 167.952005 0 0.259492 11.47747 3.495899 0.117804 0 0 0.972549708 1.598777519 2.012792177 0 0 0 1942 10 14
1942-10-15 0 0 -4.0749 1471.272596 167.885401 0 0.259048 11.477349 3.495697 0.074043 0 0 0.972536386 1.598621419 2.012671387 0 0 0 1942 10 15
